,timestamp,nose_x,nose_y,nose_z,l_eye_x,l_eye_y,l_eye_z,r_eye_x,r_eye_y,r_eye_z,l_ear_x,l_ear_y,l_ear_z,r_ear_x,r_ear_y,r_ear_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,r_elbow_x,r_elbow_y,r_elbow_z,l_hand_x,l_hand_y,l_hand_z,r_hand_x,r_hand_y,r_hand_z,l_base_x,l_base_y,l_base_z,r_base_x,r_base_y,r_base_z,l_knee_x,l_knee_y,l_knee_z,r_knee_x,r_knee_y,r_knee_z,l_foot_x,l_foot_y,l_foot_z,r_foot_x,r_foot_y,r_foot_z
0,1697876253.3363063,1001.0,309.0,0.0,1006.0,307.0,0.0,999.0,307.0,0.0,1012.0,309.0,0.0,994.0,309.0,0.0,1020.0,334.0,0.0,987.0,335.0,0.0,1016.0,364.0,0.0,984.0,364.0,0.0,1006.0,390.0,0.0,991.0,391.0,0.0,1012.0,387.0,0.0,990.0,387.0,0.0,1012.0,423.0,0.0,990.0,423.0,0.0,1012.0,456.0,0.0,990.0,456.0,0.0
1,1697876253.4366796,1001.0,307.0,0.0,1006.0,303.0,0.0,998.0,303.0,0.0,1011.0,306.0,0.0,994.0,306.0,0.0,1020.0,332.0,0.0,987.0,333.0,0.0,1017.0,363.0,0.0,984.0,363.0,0.0,1008.0,386.0,0.0,990.0,389.0,0.0,1011.0,386.0,0.0,991.0,386.0,0.0,1011.0,425.0,0.0,990.0,425.0,0.0,1011.0,456.0,0.0,990.0,456.0,0.0
2,1697876253.4702086,1001.0,307.0,0.0,1005.0,303.0,0.0,998.0,303.0,0.0,1012.0,306.0,0.0,994.0,306.0,0.0,1019.0,332.0,0.0,987.0,332.0,0.0,1016.0,364.0,0.0,984.0,362.0,0.0,1011.0,385.0,0.0,989.0,388.0,0.0,1012.0,385.0,0.0,992.0,384.0,0.0,1012.0,424.0,0.0,989.0,424.0,0.0,1012.0,456.0,0.0,991.0,457.0,0.0
3,1697876253.5705855,1001.0,304.0,0.0,1006.0,300.0,0.0,999.0,300.0,0.0,1011.0,304.0,0.0,993.0,304.0,0.0,1018.0,330.0,0.0,987.0,330.0,0.0,1018.0,359.0,0.0,983.0,362.0,0.0,1017.0,383.0,0.0,987.0,388.0,0.0,1011.0,385.0,0.0,991.0,386.0,0.0,1013.0,425.0,0.0,990.0,424.0,0.0,1011.0,455.0,0.0,990.0,457.0,0.0
4,1697876253.6708055,1002.0,303.0,0.0,1005.0,298.0,0.0,998.0,298.0,0.0,1012.0,303.0,0.0,993.0,303.0,0.0,1019.0,328.0,0.0,986.0,330.0,0.0,1022.0,357.0,0.0,982.0,360.0,0.0,1022.0,384.0,0.0,985.0,386.0,0.0,1013.0,386.0,0.0,992.0,386.0,0.0,1013.0,425.0,0.0,989.0,425.0,0.0,1012.0,456.0,0.0,991.0,456.0,0.0
5,1697876253.7378125,1003.0,302.0,0.0,1006.0,298.0,0.0,999.0,298.0,0.0,1011.0,302.0,0.0,993.0,302.0,0.0,1020.0,328.0,0.0,986.0,329.0,0.0,1024.0,354.0,0.0,980.0,359.0,0.0,1024.0,381.0,0.0,983.0,385.0,0.0,1013.0,387.0,0.0,991.0,387.0,0.0,1013.0,425.0,0.0,990.0,425.0,0.0,1011.0,455.0,0.0,990.0,457.0,0.0
6,1697876253.9384296,1002.0,303.0,0.0,1006.0,298.0,0.0,999.0,298.0,0.0,1012.0,303.0,0.0,994.0,303.0,0.0,1019.0,328.0,0.0,987.0,328.0,0.0,1025.0,354.0,0.0,981.0,359.0,0.0,1028.0,380.0,0.0,981.0,384.0,0.0,1013.0,387.0,0.0,992.0,386.0,0.0,1012.0,426.0,0.0,991.0,425.0,0.0,1012.0,456.0,0.0,991.0,456.0,0.0
7,1697876254.7233355,1004.0,302.0,0.0,1007.0,298.0,0.0,1000.0,298.0,0.0,1013.0,302.0,0.0,994.0,302.0,0.0,1020.0,328.0,0.0,987.0,328.0,0.0,1024.0,356.0,0.0,981.0,358.0,0.0,1027.0,381.0,0.0,983.0,386.0,0.0,1013.0,387.0,0.0,993.0,387.0,0.0,1013.0,427.0,0.0,990.0,426.0,0.0,1012.0,456.0,0.0,991.0,456.0,0.0
8,1697876254.2729595,1004.0,303.0,0.0,1007.0,299.0,0.0,1000.0,299.0,0.0,1013.0,303.0,0.0,996.0,303.0,0.0,1020.0,328.0,0.0,987.0,329.0,0.0,1024.0,355.0,0.0,983.0,357.0,0.0,1026.0,378.0,0.0,983.0,385.0,0.0,1014.0,387.0,0.0,993.0,385.0,0.0,1013.0,426.0,0.0,991.0,424.0,0.0,1011.0,456.0,0.0,990.0,456.0,0.0
9,1697876254.4402115,1004.0,303.0,0.0,1007.0,298.0,0.0,1000.0,298.0,0.0,1014.0,303.0,0.0,996.0,303.0,0.0,1021.0,328.0,0.0,987.0,329.0,0.0,1024.0,355.0,0.0,983.0,356.0,0.0,1027.0,379.0,0.0,983.0,385.0,0.0,1014.0,387.0,0.0,993.0,385.0,0.0,1013.0,427.0,0.0,991.0,425.0,0.0,1011.0,456.0,0.0,991.0,457.0,0.0
