Trajectories
60
,,yoshinari:LFHD,,,yoshinari:RFHD,,,yoshinari:LBHD,,,yoshinari:RBHD,,,yoshinari:C7,,,yoshinari:T10,,,yoshinari:CLAV,,,yoshinari:STRN,,,yoshinari:RBAK,,,yoshinari:LSHO,,,yoshinari:LUPA,,,yoshinari:LELB,,,yoshinari:LFRM,,,yoshinari:LWRA,,,yoshinari:LWRB,,,yoshinari:LFIN,,,yoshinari:RSHO,,,yoshinari:RUPA,,,yoshinari:RELB,,,yoshinari:RFRM,,,yoshinari:RWRA,,,yoshinari:RWRB,,,yoshinari:RFIN,,,yoshinari:LASI,,,yoshinari:RASI,,,yoshinari:LPSI,,,yoshinari:RPSI,,,yoshinari:LTHI,,,yoshinari:LKNE,,,yoshinari:LTIB,,,yoshinari:LANK,,,yoshinari:LHEE,,,yoshinari:LTOE,,,yoshinari:RTHI,,,yoshinari:RKNE,,,yoshinari:RTIB,,,yoshinari:RANK,,,yoshinari:RHEE,,,yoshinari:RTOE,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-3398.193359,-575.414368,1647.265625,-3341.852783,-677.955933,1649.855591,,,,,,,,,,,,,-3384.293945,-664.823242,1337.686523,-3347.402832,-672.861633,1180.828247,,,,-3492.150391,-520.529419,1398.699463,-3453.953613,-471.429382,1182.808594,,,,-3491.158936,-440.018280,1022.730225,-3401.845703,-461.309479,858.856262,,,,-3451.541748,-412.514923,782.566101,,,,-3443.342041,-907.832336,1173.012329,-3410.041260,-916.486938,1097.650146,-3355.801270,-912.629822,979.092102,-3308.323242,-890.711121,881.271667,,,,-3318.184570,-944.672424,816.717468,-3389.035156,-565.762756,988.452148,-3379.074219,-804.940735,1005.267273,,,,,,,-3457.169678,-507.702423,845.614380,-3454.822266,-559.777771,504.827393,-3487.172607,-557.669006,397.533966,,,,,,,,,,-3411.858643,-877.768555,657.337158,-3426.484863,-868.234558,536.068909,-3468.990479,-877.886597,347.852051,-3504.315430,-846.580444,207.432053,,,,-3370.233887,-797.067566,148.551163,-127.738434,1232.125244,1112.485229,-55.431065,1244.839966,1033.026489,-145.173721,1304.425537,1037.032715,-69.122688,1319.354492,1032.256104,-119.330589,1157.366699,1038.061523,-42.733025,1168.450073,1034.182739
2,0,-3399.328125,-573.691833,1647.145508,-3341.453857,-676.207520,1649.753662,,,,,,,,,,,,,-3382.209717,-663.833435,1337.933594,-3346.506348,-671.538086,1180.633667,,,,-3489.030762,-519.630188,1399.257202,,,,-3491.567139,-444.571320,1085.513672,-3488.078857,-438.665161,1023.034546,-3399.065918,-460.482391,858.712524,,,,-3445.765869,-411.405243,783.203979,-3460.079590,-835.853333,1405.058716,-3446.574707,-905.839417,1172.634277,-3412.283936,-915.623901,1097.339722,-3359.079102,-912.914246,977.736450,-3314.887939,-893.649231,878.610535,,,,-3325.792725,-947.122375,814.620178,-3386.969238,-564.855286,988.237549,-3381.067871,-804.252441,1005.557922,,,,,,,-3454.856201,-506.812439,845.618042,-3455.199707,-558.683655,504.860474,-3486.240723,-556.731750,397.856659,,,,,,,,,,-3411.980713,-877.263611,657.599792,-3426.446533,-867.413513,536.351868,-3469.494141,-877.543396,347.872894,-3504.690430,-846.424316,207.520294,,,,-3370.115234,-797.145569,148.583191,-127.729088,1232.113281,1112.478271,-55.413189,1244.827759,1032.991821,-145.143478,1304.382812,1037.021118,-69.093979,1319.322388,1032.224854,-119.316322,1157.338135,1038.050537,-42.729172,1168.444214,1034.182007
3,0,-3398.604492,-572.369690,1647.252197,-3341.182373,-674.534668,1649.784058,,,,,,,,,,,,,-3381.234863,-662.341125,1338.194214,-3344.881592,-670.460449,1180.693359,,,,-3487.440674,-518.149780,1399.416626,-3453.399414,-467.523224,1182.942383,-3495.578369,-442.645996,1084.928955,-3483.666016,-437.121796,1023.134827,-3402.312012,-458.793091,858.080872,,,,-3457.221191,-410.787598,780.585999,-3460.934570,-834.537537,1404.720215,-3446.244873,-904.625427,1172.760010,-3416.203857,-914.483704,1097.643921,-3363.215576,-913.580566,976.678955,-3318.799072,-895.205688,876.873352,,,,-3332.737793,-948.630066,813.040161,-3386.303223,-563.734680,988.113220,-3380.194580,-803.240540,1006.219055,,,,,,,-3457.202148,-505.726624,844.975037,-3455.699707,-557.293823,504.853607,-3487.195801,-555.572083,397.611023,,,,,,,,,,-3411.954590,-876.603333,657.993347,-3426.375244,-866.776611,536.604126,-3468.771729,-877.472717,348.070618,-3503.968994,-846.242737,207.827118,,,,-3370.277832,-797.372681,148.492340,-127.722069,1232.109253,1112.477783,-55.408127,1244.834473,1032.991577,-145.139999,1304.380127,1037.038330,-69.086906,1319.339600,1032.228882,-119.308334,1157.328979,1038.047119,-42.719540,1168.446411,1034.156982
4,0,-3394.606201,-570.915833,1649.210083,-3341.189453,-672.972778,1650.279785,,,,,,,,,,,,,-3384.849609,-660.528442,1337.680664,-3345.364258,-669.266785,1180.962036,,,,-3486.616455,-516.091187,1399.445679,-3452.365234,-465.991638,1182.716675,-3497.774658,-441.756195,1082.920776,-3484.408447,-433.697754,1023.642212,-3406.083496,-456.659851,857.204163,,,,-3457.789062,-407.960785,781.197815,-3460.145020,-833.221008,1405.631470,-3445.876709,-903.475525,1173.001587,-3420.520020,-913.263245,1096.934204,-3366.642822,-914.777649,975.700195,-3323.393066,-897.773865,875.216431,,,,-3340.342773,-951.147339,811.605530,-3385.209229,-562.493225,987.850891,-3378.242188,-801.161438,1006.742493,,,,,,,-3459.518555,-504.613098,844.296204,-3454.914795,-556.384338,505.101013,-3487.458496,-554.445374,397.588898,,,,,,,-3369.796875,-680.978027,151.881439,-3411.915527,-876.014282,658.146057,-3426.213623,-866.183655,536.677612,-3468.251953,-877.321228,348.593628,-3502.676758,-846.067078,208.425400,,,,-3370.500732,-797.514282,148.591675,-127.738937,1232.100098,1112.484375,-55.394981,1244.819336,1033.028687,-145.155273,1304.403931,1037.021484,-69.103081,1319.342285,1032.235962,-119.299408,1157.343872,1038.047241,-42.726555,1168.427490,1034.176270
5,0,-3395.520752,-568.866821,1647.669556,-3340.475098,-671.192993,1649.756836,,,,,,,,,,,,,-3384.907715,-658.999756,1337.290405,-3344.886230,-668.429443,1180.797729,,,,-3486.803467,-513.962097,1398.405762,-3453.143066,-464.326599,1182.272339,-3492.576172,-440.166443,1083.543701,-3486.574951,-432.640839,1023.626587,-3405.930664,-454.579437,856.941833,,,,-3459.935791,-406.408813,780.050110,-3460.936523,-830.822083,1405.246216,-3447.757080,-901.637024,1172.862183,-3421.718506,-912.238037,1096.867188,-3371.143555,-916.107910,975.161926,-3328.859375,-900.647095,872.999146,,,,-3347.208984,-953.512390,810.221130,-3385.593018,-561.450500,987.698425,-3374.262939,-800.027588,1007.400635,,,,,,,-3461.920654,-503.367004,843.584167,-3455.270996,-555.415100,504.877563,-3487.310303,-553.132202,398.088379,,,,,,,-3370.146729,-680.640076,151.761780,-3412.146240,-875.342529,658.496948,-3425.860352,-865.605713,536.986206,-3467.606689,-877.067383,348.729095,-3503.582031,-845.955322,208.353134,,,,-3370.356201,-797.603638,148.567474,-127.734344,1232.098389,1112.525513,-55.424870,1244.777344,1033.065674,-145.179886,1304.426758,1037.046875,-69.150146,1319.351685,1032.282104,-119.327667,1157.339966,1038.059326,-42.761597,1168.411865,1034.217407
6,0,-3396.739502,-566.977173,1647.453247,-3340.441895,-669.570679,1650.153076,,,,,,,,,,,,,-3384.116211,-657.850159,1336.912842,-3344.165039,-667.508179,1180.868164,,,,-3486.711426,-512.521118,1398.457886,-3451.263428,-462.817719,1183.281982,-3498.003662,-437.836487,1084.423096,-3494.320801,-430.187500,1022.680908,-3403.446045,-453.441956,857.041870,,,,-3461.303955,-405.344513,779.779724,-3461.456787,-829.456665,1405.293823,-3449.883301,-899.639465,1173.714722,-3420.418945,-912.088806,1097.204712,-3375.188232,-917.532349,974.699524,-3333.934814,-903.759888,871.647156,,,,-3354.604492,-955.550171,809.383423,-3386.008301,-560.714722,987.353394,-3376.347168,-798.372131,1006.741882,,,,,,,-3463.769775,-502.563049,843.400269,-3455.704346,-554.716003,504.428253,-3487.560059,-552.641907,398.148804,,,,,,,-3370.183105,-680.283203,151.911972,-3412.061768,-874.718262,658.725525,-3425.419678,-865.093567,536.601562,-3466.049316,-876.522461,349.494843,-3502.489502,-845.781006,208.676483,,,,-3370.383301,-797.520264,148.627518,-127.747627,1232.088623,1112.537842,-55.421955,1244.749512,1033.096924,-145.192581,1304.418335,1037.083130,-69.131485,1319.343506,1032.302490,-119.340469,1157.338013,1038.088989,-42.757530,1168.409790,1034.237915
7,0,-3402.961182,-563.658936,1646.532227,-3340.395752,-668.098999,1650.583984,,,,,,,,,,,,,-3380.229004,-656.922485,1337.381592,-3344.358154,-666.309204,1180.775635,,,,-3484.568115,-511.045410,1399.356445,-3450.222900,-461.010040,1182.224121,-3494.690918,-436.377899,1083.043457,-3495.850098,-428.514954,1022.489197,-3403.190918,-451.537140,856.691711,,,,-3462.314453,-404.187378,779.787659,-3461.824219,-828.244995,1405.371338,-3450.761719,-898.508667,1173.076416,-3423.717529,-911.511230,1097.326904,-3379.833496,-918.851440,974.140137,-3338.406494,-907.192078,870.832153,,,,-3363.894043,-958.369812,808.050293,-3386.597412,-559.280151,986.978699,-3377.262695,-797.317383,1006.728027,,,,,,,-3463.320801,-501.572723,843.423645,-3455.712646,-553.961609,504.377258,-3488.336426,-551.801331,397.780762,,,,,,,-3369.843750,-680.126160,152.112076,-3411.469971,-873.955933,659.115112,-3424.938477,-864.549988,537.434448,-3465.797607,-876.246399,349.557343,-3502.779541,-845.708740,208.682983,,,,-3370.211182,-797.594910,148.644363,-127.739532,1232.090332,1112.527588,-55.424316,1244.738647,1033.087158,-145.177612,1304.440430,1037.076050,-69.129616,1319.361694,1032.276855,-119.326469,1157.339233,1038.086914,-42.741802,1168.431152,1034.229980
8,0,,,,-3339.802734,-666.342346,1650.351196,,,,,,,,,,,,,-3379.619385,-655.482666,1337.429810,-3344.489014,-664.674805,1180.446289,,,,-3483.291748,-509.213562,1399.102173,-3450.488037,-459.513275,1181.678467,-3498.850342,-434.820129,1081.976196,-3492.491455,-427.489288,1022.200684,-3403.486328,-449.687164,855.731873,,,,-3464.411377,-403.036255,778.769226,-3461.520020,-826.634705,1405.720947,-3452.207031,-897.361511,1173.434937,-3427.852295,-911.188477,1097.009033,-3384.082031,-920.360168,973.632935,-3344.090820,-911.051758,869.558411,,,,-3370.693359,-960.773071,807.810303,-3385.601562,-558.292358,986.797058,-3380.148682,-798.155823,1005.626099,,,,,,,-3461.405762,-500.880707,843.801514,-3456.190918,-553.250549,504.103546,-3488.555664,-551.101196,397.613953,,,,,,,-3370.170898,-679.865540,152.093918,-3411.326660,-873.175354,659.610779,-3424.556885,-864.057251,537.523193,-3464.841553,-875.893616,350.091125,-3502.991455,-845.727905,208.692047,,,,-3370.250488,-797.806641,148.612656,-127.727928,1232.085327,1112.505981,-55.414272,1244.747925,1033.048950,-145.122009,1304.389404,1037.077026,-69.077599,1319.339966,1032.243164,-119.308968,1157.324951,1038.035400,-42.735497,1168.426147,1034.186157
9,0,-3393.686279,-562.079956,1647.487549,-3338.990234,-664.525513,1649.801147,,,,,,,,,,,,,-3379.831543,-653.978516,1337.555908,-3344.827637,-663.523926,1180.287354,,,,-3483.123291,-507.448608,1398.666870,-3449.560303,-458.310730,1181.413940,-3491.293701,-433.709686,1082.856445,-3483.499756,-425.941040,1023.155823,-3406.668457,-448.003510,854.775452,,,,-3461.382080,-399.633667,779.425049,-3460.810791,-825.065735,1406.056152,-3453.942871,-896.329346,1173.786499,-3432.049072,-910.844055,1096.889282,-3389.413330,-922.031433,973.026794,-3348.177246,-914.522461,869.449646,,,,-3377.373779,-963.284058,808.333374,-3385.359131,-557.693848,986.897766,-3382.192871,-797.494934,1005.358826,,,,,,,-3457.919189,-499.850952,844.627502,-3456.896240,-552.487427,503.833527,-3488.269531,-550.506897,397.545471,,,,,,,-3370.054688,-679.844727,152.093140,-3410.929443,-872.669128,659.867188,-3424.160889,-863.765869,537.722534,-3464.897949,-875.876099,350.205536,-3503.840088,-845.744141,208.599030,,,,-3370.406982,-798.093933,148.647919,-127.715752,1232.064209,1112.498657,-55.397495,1244.716919,1033.052246,-145.124847,1304.379028,1037.066284,-69.069862,1319.324219,1032.253296,-119.304428,1157.296509,1038.033081,-42.716057,1168.453003,1034.182251
