,,yoshinari:CentreOfMass,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-287.061,-726.635,935.231,-287.64917,1300.065674,1113.222656,-288.023499,1373.290405,1033.373657,-362.839844,1294.907715,1038.104248,-364.445526,1372.628296,1033.153564,-213.488464,1295.316528,1037.784424,-210.939499,1372.733521,1034.028564
2,0,-287.159,-726.589,935.247,-287.641388,1300.048462,1113.20752,-288.026184,1373.287476,1033.39563,-362.85025,1294.897217,1038.094116,-364.446838,1372.627441,1033.158081,-213.504532,1295.314941,1037.795166,-210.948441,1372.714111,1034.028687
3,0,-287.259,-726.519,935.239,-287.620087,1300.036987,1113.207275,-288.002106,1373.278564,1033.367432,-362.828308,1294.909668,1038.0896,-364.427307,1372.615234,1033.13562,-213.483871,1295.314209,1037.777222,-210.912857,1372.686646,1034.019531
4,0,-287.369,-726.458,935.217,-287.565735,1300.008545,1113.197632,-287.961609,1373.268799,1033.354614,-362.806732,1294.884155,1038.074585,-364.39093,1372.591064,1033.120361,-213.46698,1295.308472,1037.761353,-210.881882,1372.671997,1033.999634
5,0,-287.321,-726.358,935.264,-287.564789,1299.994751,1113.200684,-287.955933,1373.242432,1033.361206,-362.797729,1294.90918,1038.084839,-364.397766,1372.571289,1033.130249,-213.441208,1295.286987,1037.767212,-210.870728,1372.647583,1034.019653
6,0,-287.391,-726.298,935.295,-287.582916,1300.013916,1113.224731,-287.956787,1373.2677,1033.376953,-362.810272,1294.895386,1038.098022,-364.382416,1372.584595,1033.161865,-213.455963,1295.294067,1037.770752,-210.878418,1372.670776,1034.036743
7,0,-287.501,-726.256,935.326,-287.622742,1300.039673,1113.237793,-288.013916,1373.270142,1033.395752,-362.854156,1294.899414,1038.131348,-364.434723,1372.594971,1033.180908,-213.488068,1295.304199,1037.808228,-210.916885,1372.696045,1034.053345
8,0,-287.597,-726.213,935.335,-287.625519,1300.061646,1113.242188,-288.021088,1373.282227,1033.395874,-362.861908,1294.899536,1038.128418,-364.468567,1372.606934,1033.193726,-213.5168,1295.287476,1037.801392,-210.92572,1372.688477,1034.057495
9,0,-287.69,-726.148,935.341,-287.616425,1300.027222,1113.23938,-287.996735,1373.268066,1033.39856,-362.855225,1294.876831,1038.145752,-364.44455,1372.563965,1033.19165,-213.496017,1295.287354,1037.809326,-210.91713,1372.656494,1034.072144
10,0,-287.816,-726.101,935.343,-287.589111,1300.005127,1113.23999,-287.978973,1373.250366,1033.414062,-362.829559,1294.871094,1038.115601,-364.407745,1372.508667,1033.161743,-213.481445,1295.276489,1037.785767,-210.876541,1372.612061,1034.06897
11,0,-287.845,-726.028,935.332,-287.559845,1299.978027,1113.240112,-287.968414,1373.244873,1033.418701,-362.815674,1294.865234,1038.116211,-364.386017,1372.518188,1033.179443,-213.455688,1295.266724,1037.772583,-210.844666,1372.60144,1034.089844
12,0,-287.952,-725.982,935.372,-287.565521,1299.995483,1113.242432,-287.97049,1373.236938,1033.425903,-362.804901,1294.858521,1038.118164,-364.39801,1372.513672,1033.199951,-213.462784,1295.263184,1037.796143,-210.854065,1372.616455,1034.091431
13,0,-288.041,-725.948,935.417,-287.598938,1300.032227,1113.25061,-287.994354,1373.268555,1033.429443,-362.845642,1294.879761,1038.137939,-364.441803,1372.54126,1033.188599,-213.499481,1295.272217,1037.809082,-210.906845,1372.644653,1034.083252
14,0,-288.182,-725.908,935.466,-287.631378,1300.039307,1113.266602,-288.02829,1373.268555,1033.46228,-362.875092,1294.877808,1038.159058,-364.4505,1372.553467,1033.233276,-213.51062,1295.279541,1037.820312,-210.915771,1372.652588,1034.119629
15,0,-288.298,-725.866,935.473,-287.622101,1300.018555,1113.276367,-287.998413,1373.258057,1033.454346,-362.870026,1294.866211,1038.171509,-364.444275,1372.54126,1033.224609,-213.528259,1295.277466,1037.833862,-210.900681,1372.632324,1034.113403
16,0,-288.427,-725.814,935.465,-287.583344,1299.996094,1113.269165,-287.998505,1373.24353,1033.45813,-362.845703,1294.849487,1038.130005,-364.422577,1372.486328,1033.203125,-213.48027,1295.254272,1037.799316,-210.875412,1372.611206,1034.105957
17,0,-288.549,-725.752,935.462,-287.555206,1299.976196,1113.244995,-287.960327,1373.244019,1033.441772,-362.828918,1294.85376,1038.117798,-364.39447,1372.501709,1033.203979,-213.456589,1295.252563,1037.783813,-210.84465,1372.574951,1034.099121
18,0,-288.667,-725.691,935.482,-287.557678,1300.000122,1113.259277,-287.958618,1373.262207,1033.434082,-362.801208,1294.861694,1038.124023,-364.383026,1372.526733,1033.192871,-213.453156,1295.275146,1037.794556,-210.840363,1372.604736,1034.085083
19,0,-288.795,-725.661,935.528,-287.596863,1300.018799,1113.267212,-287.978424,1373.253296,1033.450562,-362.840759,1294.859863,1038.15564,-364.430573,1372.536377,1033.213501,-213.477783,1295.265747,1037.804077,-210.873779,1372.630249,1034.092529
20,0,-288.925,-725.607,935.566,-287.629852,1300.030518,1113.272583,-288.025513,1373.27832,1033.451538,-362.864044,1294.860229,1038.171021,-364.448914,1372.552368,1033.234985,-213.513306,1295.27124,1037.830933,-210.905136,1372.649048,1034.115601
21,0,-289.089,-725.55,935.598,-287.624969,1300.029541,1113.276611,-288.014557,1373.263184,1033.462891,-362.878174,1294.859009,1038.156494,-364.457581,1372.545532,1033.20752,-213.513977,1295.250977,1037.815308,-210.910248,1372.626953,1034.109741
22,0,-289.275,-725.496,935.613,-287.598633,1300.002686,1113.267822,-287.993958,1373.257202,1033.421021,-362.858246,1294.866455,1038.156006,-364.439941,1372.529785,1033.218262,-213.486343,1295.271484,1037.798462,-210.883102,1372.619995,1034.110107
23,0,-289.454,-725.448,935.605,-287.545654,1299.977905,1113.254028,-287.963684,1373.248413,1033.433105,-362.821503,1294.855225,1038.118774,-364.406952,1372.501221,1033.190796,-213.470139,1295.275513,1037.775635,-210.849976,1372.595947,1034.09729
24,0,-289.548,-725.438,935.606,-287.55246,1299.982178,1113.250244,-287.947937,1373.253174,1033.43689,-362.815338,1294.856934,1038.109131,-364.40036,1372.509399,1033.175903,-213.44754,1295.250366,1037.769897,-210.837555,1372.59375,1034.069214
25,0,-289.788,-725.402,935.68,-287.582855,1299.998657,1113.246948,-287.977661,1373.257812,1033.438843,-362.838196,1294.856934,1038.134277,-364.412445,1372.528076,1033.187256,-213.465851,1295.257324,1037.795288,-210.865768,1372.627686,1034.087524
26,0,-289.948,-725.347,935.717,-287.617371,1300.022583,1113.268433,-288.010376,1373.27417,1033.458374,-362.866791,1294.860107,1038.160645,-364.440887,1372.533447,1033.206299,-213.488098,1295.244141,1037.827881,-210.898178,1372.655762,1034.106323
27,0,-290.185,-725.3,935.759,-287.644806,1300.052246,1113.267212,-288.015381,1373.280273,1033.451172,-362.885315,1294.871704,1038.164795,-364.47052,1372.549927,1033.213989,-213.509613,1295.260864,1037.823975,-210.900421,1372.646118,1034.106934
28,0,-290.396,-725.27,935.788,-287.619568,1300.021484,1113.264404,-288.004791,1373.251709,1033.429688,-362.86264,1294.867432,1038.143555,-364.444977,1372.515991,1033.224121,-213.522415,1295.258789,1037.819092,-210.88768,1372.620483,1034.120972
29,0,-290.64,-725.233,935.792,-287.57309,1299.994629,1113.264648,-287.981873,1373.246338,1033.423096,-362.832367,1294.853149,1038.114868,-364.413788,1372.486572,1033.21814,-213.490112,1295.261597,1037.787354,-210.853516,1372.584351,1034.093018
30,0,-290.828,-725.196,935.803,-287.564941,1299.959839,1113.244995,-287.9505,1373.25061,1033.440674,-362.825928,1294.848145,1038.131104,-364.399719,1372.49939,1033.199951,-213.461426,1295.259277,1037.771362,-210.851547,1372.585815,1034.083862
31,0,-291.016,-725.192,935.867,-287.58197,1300.001221,1113.25354,-287.955688,1373.244751,1033.433716,-362.82663,1294.857544,1038.141602,-364.397369,1372.522339,1033.181641,-213.464157,1295.253784,1037.786743,-210.859482,1372.614502,1034.084106
32,0,-291.248,-725.202,935.939,-287.615265,1300.025635,1113.249146,-288.005829,1373.255615,1033.447021,-362.84494,1294.848267,1038.139893,-364.431244,1372.535645,1033.207031,-213.497513,1295.263306,1037.808228,-210.881805,1372.6427,1034.09021
33,0,-291.431,-725.161,935.98,-287.626282,1300.029663,1113.263428,-288.005066,1373.261963,1033.430664,-362.869446,1294.865356,1038.165039,-364.445282,1372.548462,1033.220581,-213.493454,1295.266724,1037.803467,-210.911957,1372.653809,1034.104492
34,0,-291.687,-725.121,936.011,-287.610596,1300.014038,1113.259644,-288.016602,1373.259888,1033.45166,-362.869659,1294.850098,1038.153809,-364.449982,1372.527832,1033.215332,-213.501282,1295.255737,1037.803589,-210.892715,1372.629517,1034.119385
35,0,-291.907,-725.097,936.03,-287.580383,1299.997437,1113.262085,-287.978577,1373.255005,1033.438232,-362.838745,1294.867554,1038.139893,-364.415131,1372.53064,1033.210205,-213.479172,1295.266602,1037.778809,-210.863388,1372.601685,1034.096313
36,0,-292.149,-725.107,936.058,-287.560059,1299.976074,1113.236328,-287.959076,1373.245728,1033.422119,-362.828064,1294.847534,1038.113892,-364.400665,1372.483154,1033.186401,-213.460022,1295.26062,1037.778687,-210.832535,1372.57312,1034.086304
37,0,-292.328,-725.062,936.09,-287.566315,1299.985229,1113.234375,-287.963318,1373.254883,1033.431519,-362.827606,1294.847046,1038.112183,-364.390106,1372.522461,1033.175293,-213.458435,1295.263916,1037.763062,-210.842331,1372.607178,1034.082397
38,0,-292.468,-725.025,936.15,-287.602417,1300.00647,1113.261963,-288.003998,1373.248413,1033.443481,-362.83847,1294.843018,1038.13916,-364.41806,1372.520386,1033.19519,-213.481216,1295.237671,1037.793335,-210.881058,1372.613281,1034.105713
39,0,-292.669,-724.977,936.208,-287.618408,1300.031372,1113.269531,-288.020386,1373.265503,1033.443359,-362.875366,1294.848999,1038.165405,-364.44281,1372.528442,1033.209961,-213.522675,1295.264893,1037.828003,-210.901993,1372.630615,1034.112427
