trial_id,type,max_speed,sudden_stop,lower_speed,video_right,video_left,calib_start,calib_duration
01,run_without_rec,,,,C0183,C0170,,
02,run,0.4,0,,C0184,C0171,,
03,run,0.8,0,,C0185,C0172,,
04,run,0.8,1,,C0186,C0173,1.707028620085762024e+09,5
05,run,0.4,1,,C0187,C0174,,
06,run,0.4,1,,C0188,C0175,,
07,lean,0,0,,C0189,C0176,1.707029480016094208e+09,5
08,random_run,0.4,1,0,C0190,C0177,,
09,test,,,,C0191,C0178,,
10,run,0.4,0,,C0192,C0179,,
11,test,,,,C0193,C0180,,
12,random_run,0.4,1,0.1,C0194,C0181,1.707035070007327080e+09,10
,,,,,,,,
