Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,robot_X,robot_Y,robot_Z
1,,,,,,,,,,,,,,,,-1542.114014,57.91761,1142.373779
2,,,,,,,,,,,,,,,,-1542.119873,57.890987,1142.390991
3,,,,,,,,,,,,,,,,-1542.109497,57.895985,1142.415039
4,,,,,,,,,,,,,,,,-1542.137939,57.928532,1142.418945
5,,,,,,,,,,,,,,,,-1542.146484,57.938309,1142.398926
6,,,,,,,,,,,,,,,,-1542.130371,57.94101,1142.383301
7,,,,,,,,,,,,,,,,-1542.120605,57.913391,1142.364014
8,,,,,,,,,,,,,,,,-1542.111816,57.892113,1142.372925
9,,,,,,,,,,,,,,,,-1542.112061,57.914215,1142.385376
10,,,,,,,,,,,,,,,,-1542.125732,57.908234,1142.39917
11,,,,,,,,,,,,,,,,-1542.130859,57.939209,1142.38501
12,,,,,,,,,,,,,,,,-1542.138306,57.927059,1142.370117
13,,,,,,,,,,,,,,,,-1542.128296,57.903309,1142.333008
14,,,,,,,,,,,,,,,,-1542.130127,57.895905,1142.332031
15,,,,,,,,,,,,,,,,-1542.115845,57.901711,1142.351685
16,,,,,,,,,,,,,,,,-1542.141113,57.904613,1142.37854
17,,,,,,,,,,,,,,,,-1542.130493,57.920979,1142.384888
18,,,,,,,,,,,,,,,,-1542.16626,57.927048,1142.366455
19,,,,,,,,,,,,,,,,-1542.111938,57.906078,1142.337646
20,,,,,,,,,,,,,,,,-1542.11438,57.905758,1142.334351
21,,,,,,,,,,,,,,,,-1542.11792,57.903816,1142.352905
22,,,,,,,,,,,,,,,,-1542.111694,57.905815,1142.375977
23,,,,,,,,,,,,,,,,-1542.140015,57.913292,1142.38916
24,,,,,,,,,,,,,,,,-1542.138794,57.916695,1142.365845
25,,,,,,,,,,,,,,,,-1542.126465,57.910736,1142.338135
26,,,,,,,,,,,,,,,,-1542.124756,57.905071,1142.327881
27,,,,,,,,,,,,,,,,-1542.112671,57.897617,1142.341919
28,,,,,,,,,,,,,,,,-1542.122925,57.895226,1142.369629
29,,,,,,,,,,,,,,,,-1542.119263,57.906181,1142.374023
30,,,,,,,,,,,,,,,,-1542.127686,57.932121,1142.368408
31,,,,,,,,,,,,,,,,-1542.122925,57.935173,1142.350342
32,,,,,,,,,,,,,,,,-1542.125244,57.911869,1142.33728
33,,,,,,,,,,,,,,,,-1542.120483,57.903355,1142.344727
34,,,,,,,,,,,,,,,,-1542.105957,57.905907,1142.363281
35,,,,,,,,,,,,,,,,-1542.115356,57.912182,1142.379517
36,,,,,,,,,,,,,,,,-1542.116943,57.918571,1142.370239
37,,,,,,,,,,,,,,,,-1542.120483,57.921642,1142.352295
38,,,,,,,,,,,,,,,,-1542.095215,57.922184,1142.326538
39,,,,,,,,,,,,,,,,-1542.101562,57.904247,1142.325684
40,,,,,,,,,,,,,,,,-1542.109741,57.889889,1142.352417
41,,,,,,,,,,,,,,,,-1542.121094,57.908531,1142.365234
42,,,,,,,,,,,,,,,,-1542.136353,57.916908,1142.383423
43,,,,,,,,,,,,,,,,-1542.121948,57.914471,1142.364014
44,,,,,,,,,,,,,,,,-1542.111816,57.90625,1142.349365
45,,,,,,,,,,,,,,,,-1542.11792,57.895687,1142.330566
46,,,,,,,,,,,,,,,,-1542.0979,57.900963,1142.34021
47,,,,,,,,,,,,,,,,-1542.116943,57.904453,1142.362671
48,,,,,,,,,,,,,,,,-1542.138428,57.907265,1142.382202
49,,,,,,,,,,,,,,,,-1542.13147,57.911816,1142.382568
50,,,,,,,,,,,,,,,,-1542.139648,57.908367,1142.355225
51,,,,,,,,,,,,,,,,-1542.116577,57.909698,1142.3302
52,,,,,,,,,,,,,,,,-1542.112183,57.879757,1142.325073
53,,,,,,,,,,,,,,,,-1542.121338,57.904873,1142.3573
54,,,,,,,,,,,,,,,,-1542.134888,57.903622,1142.365356
55,,,,,,,,,,,,,,,,-1542.143921,57.910824,1142.370361
56,,,,,,,,,,,,,,,,-1542.121826,57.906292,1142.365112
57,,,,,,,,,,,,,,,,-1542.100464,57.912968,1142.330811
58,,,,,,,,,,,,,,,,-1542.105957,57.917603,1142.322021
59,,,,,,,,,,,,,,,,-1542.129395,57.910271,1142.352905
60,,,,,,,,,,,,,,,,-1542.110107,57.912426,1142.382324
61,,,,,,,,,,,,,,,,-1542.131348,57.917336,1142.389648
62,,,,,,,,,,,,,,,,-1542.109497,57.905617,1142.360107
63,,,,,,,,,,,,,,,,-1542.123291,57.891819,1142.327515
64,,,,,,,,,,,,,,,,-1542.112671,57.90004,1142.329712
65,,,,,,,,,,,,,,,,-1542.110107,57.912006,1142.342896
66,,,,,,,,,,,,,,,,-1542.131104,57.907734,1142.368286
67,,,,,,,,,,,,,,,,-1542.155273,57.91658,1142.396973
68,,,,,,,,,,,,,,,,-1542.119141,57.90115,1142.367065
69,,,,,,,,,,,,,,,,-1542.105103,57.921459,1142.348877
70,,,,,,,,,,,,,,,,-1542.087769,57.914768,1142.324463
71,,,,,,,,,,,,,,,,-1542.110596,57.90155,1142.333862
72,,,,,,,,,,,,,,,,-1542.119873,57.909275,1142.377197
73,,,,,,,,,,,,,,,,-1542.130981,57.881115,1142.401855
